AccumulateCovid19,areaNm,increase,AccumulateReleased,localIncrease,CovidForeigner,baseYmd
520941,대전광역시,524,0,521,3,2022-07-10
733617,대전광역시,450,0,448,2,2022-10-24
738335,대전광역시,1035,0,1030,5,2022-10-28
57569,대전광역시,4078,17009,4076,2,2022-02-23
431914,대전광역시,6516,0,6512,4,2022-04-13
791195,대전광역시,2047,0,2047,0,2022-11-30
678699,대전광역시,2512,0,2495,17,2022-09-03
44625,대전광역시,3032,15400,3030,2,2022-02-19
724141,대전광역시,472,0,469,3,2022-10-11
724994,대전광역시,853,0,852,1,2022-10-12
497219,광주광역시,3054,0,3053,1,2022-04-27
745052,광주광역시,972,0,972,0,2022-10-26
377293,광주광역시,8033,0,8032,1,2022-04-02
561959,광주광역시,2890,0,2844,46,2022-07-27
727511,광주광역시,466,0,463,3,2022-09-26
774975,광주광역시,549,0,548,1,2022-11-21
531998,광주광역시,462,0,458,4,2022-06-01
35428,광주광역시,2298,13335,2294,4,2022-02-16
534681,광주광역시,226,0,225,1,2022-06-11
770204,광주광역시,1539,0,1537,2,2022-11-17
531105,광주광역시,202,0,196,6,2022-05-30
122609,광주광역시,6474,14494,6465,9,2022-03-07
22529,광주광역시,1241,11796,1237,4,2022-02-08
556754,광주광역시,1106,0,1080,26,2022-07-25
535876,광주광역시,135,0,130,5,2022-06-18
727045,광주광역시,640,0,636,4,2022-09-25
38040,광주광역시,2612,13335,2608,4,2022-02-17
705959,광주광역시,2230,0,2226,4,2022-09-08
190715,제주특별자치도,2855,0,2855,0,2022-04-08
235756,제주특별자치도,210,0,210,0,2022-06-04
340912,제주특별자치도,154,0,154,0,2022-11-07
138052,제주특별자치도,4789,105275,4789,0,2022-03-25
343186,제주특별자치도,235,0,235,0,2022-11-14
329930,제주특별자치도,540,0,536,4,2022-09-15
335522,제주특별자치도,123,0,123,0,2022-10-11
17182,제주특별자치도,1081,10636,1081,0,2022-02-21
348271,제주특별자치도,336,0,336,0,2022-11-29
227524,제주특별자치도,405,0,405,0,2022-05-10
27890,제주특별자치도,2167,15597,2165,2,2022-02-27
47842,제주특별자치도,3691,27683,3691,0,2022-03-06
336777,제주특별자치도,178,0,178,0,2022-10-18
193454,제주특별자치도,2739,0,2739,0,2022-04-09
29696,제주특별자치도,1806,15597,1806,0,2022-02-28
359350,제주특별자치도,945,0,944,1,2022-12-21
232591,제주특별자치도,258,0,258,0,2022-05-23
240132,제주특별자치도,285,0,275,10,2022-07-05
249826,제주특별자치도,1221,0,1214,7,2022-07-19
335014,제주특별자치도,179,0,178,1,2022-10-07
339150,제주특별자치도,161,0,161,0,2022-10-31
276244,제주특별자치도,1895,0,1888,7,2022-08-04
7706,제주특별자치도,412,5443,412,0,2022-02-09
1216878,경상북도,1267,0,1267,0,2022-11-21
786633,경상북도,558,0,557,1,2022-06-16
1298029,경상북도,3901,0,3898,3,2022-12-21
645593,경상북도,6713,0,6712,1,2022-04-15
936687,경상북도,3584,0,3543,41,2022-08-15
116340,경상북도,6533,39137,6529,4,2022-03-03
1118639,경상북도,2036,0,2009,27,2022-09-28
1080369,경상북도,1628,0,1619,9,2022-09-11
785389,경상북도,579,0,578,1,2022-06-14
1304161,경상북도,2832,0,2830,2,2022-12-23
948496,경상북도,7550,0,7509,41,2022-08-17
775325,경상북도,966,0,964,2,2022-05-31
1191972,경상북도,2696,0,2694,2,2022-11-11
933103,경상북도,6458,0,6415,43,2022-08-14
637265,충청남도,5471,0,5470,1,2022-04-19
730182,충청남도,1289,0,1278,11,2022-07-12
852276,충청남도,3603,0,3578,25,2022-08-16
1013019,충청남도,1283,0,1283,0,2022-10-18
835014,충청남도,5747,0,5718,29,2022-08-12
675327,충청남도,1821,0,1821,0,2022-05-01
900512,충청남도,6397,0,6366,31,2022-08-24
749736,충청남도,2641,0,2627,14,2022-07-22
190871,충청남도,10798,35669,10798,0,2022-03-11
1076452,충청남도,3072,0,3072,0,2022-11-23
1011746,충청남도,421,0,418,3,2022-10-17
715549,충청남도,193,0,193,0,2022-06-06
1118659,충청남도,2252,0,2250,2,2022-12-11
931528,충청남도,5006,0,4971,35,2022-08-31
