areaNm,daywkDivNm,touNum,baseYmd
제주특별자치도,화요일,191310.0,2022-01-25
서울특별시,수요일,1484098.0,2022-01-26
부산광역시,수요일,338782.5,2022-01-26
대구광역시,수요일,237174.0,2022-01-26
인천광역시,수요일,356489.0,2022-01-26
광주광역시,수요일,154168.0,2022-01-26
대전광역시,수요일,190085.0,2022-01-26
울산광역시,수요일,120253.0,2022-01-26
세종특별자치시,수요일,73706.5,2022-01-26
경기도,수요일,1472166.5,2022-01-26
강원도,수요일,274764.0,2022-01-26
충청북도,수요일,233159.5,2022-01-26
충청남도,수요일,323788.5,2022-01-26
전라북도,수요일,194211.5,2022-01-26
전라남도,수요일,265184.5,2022-01-26
경상북도,수요일,359695.0,2022-01-26
경상남도,수요일,349237.0,2022-01-26
제주특별자치도,수요일,188597.5,2022-01-26
서울특별시,목요일,1484437.5,2022-01-27
부산광역시,목요일,351274.0,2022-01-27
대구광역시,목요일,246354.5,2022-01-27
인천광역시,목요일,360671.5,2022-01-27
광주광역시,목요일,164290.0,2022-01-27
대전광역시,목요일,196497.0,2022-01-27
울산광역시,목요일,124057.5,2022-01-27
세종특별자치시,목요일,73846.5,2022-01-27
경기도,목요일,1496544.0,2022-01-27
강원도,목요일,282219.0,2022-01-27
충청북도,목요일,240702.0,2022-01-27
충청남도,목요일,332360.0,2022-01-27
전라북도,목요일,206069.5,2022-01-27
전라남도,목요일,278505.5,2022-01-27
경상북도,목요일,374577.0,2022-01-27
경상남도,목요일,362411.0,2022-01-27
제주특별자치도,목요일,188587.0,2022-01-27
서울특별시,금요일,1505101.5,2022-01-28
부산광역시,금요일,398716.5,2022-01-28
대구광역시,금요일,284917.5,2022-01-28
인천광역시,금요일,387754.5,2022-01-28
광주광역시,금요일,198502.5,2022-01-28
대전광역시,금요일,217000.0,2022-01-28
울산광역시,금요일,135597.0,2022-01-28
세종특별자치시,금요일,75950.0,2022-01-28
경기도,금요일,1562522.5,2022-01-28
강원도,금요일,342657.0,2022-01-28
충청북도,금요일,261709.0,2022-01-28
충청남도,금요일,364189.0,2022-01-28
전라북도,금요일,251279.0,2022-01-28
전라남도,금요일,326963.0,2022-01-28
경상북도,금요일,427189.0,2022-01-28
경상남도,금요일,415072.0,2022-01-28
제주특별자치도,금요일,193081.0,2022-01-28
서울특별시,토요일,1525958.0,2022-01-29
부산광역시,토요일,534968.0,2022-01-29
대구광역시,토요일,376271.0,2022-01-29
인천광역시,토요일,487063.5,2022-01-29
광주광역시,토요일,256651.5,2022-01-29
대전광역시,토요일,265485.5,2022-01-29
울산광역시,토요일,171430.0,2022-01-29
세종특별자치시,토요일,88823.0,2022-01-29
경기도,토요일,1880280.5,2022-01-29
강원도,토요일,568004.5,2022-01-29
충청북도,토요일,353969.0,2022-01-29
충청남도,토요일,522315.5,2022-01-29
전라북도,토요일,399948.5,2022-01-29
전라남도,토요일,519942.5,2022-01-29
경상북도,토요일,647132.5,2022-01-29
경상남도,토요일,599921.0,2022-01-29
제주특별자치도,토요일,212726.5,2022-01-29
서울특별시,일요일,1465947.0,2022-01-30
