areaNm,touNum,baseYmd,AccumulateCovid19,increase,localIncrease,CovidForeigner
경상남도,308745.5,2022-01-13,22152.0,115.0,94.0,21.0
제주특별자치도,200490.5,2022-01-13,4858.0,7.0,7.0,0.0
서울특별시,1429624.0,2022-01-14,239950.0,939.0,835.0,104.0
부산광역시,334257.0,2022-01-14,27583.0,127.0,121.0,6.0
대구광역시,239666.0,2022-01-14,24526.0,90.0,77.0,13.0
인천광역시,347203.5,2022-01-14,39722.0,266.0,242.0,24.0
광주광역시,153587.0,2022-01-14,9660.0,224.0,224.0,0.0
대전광역시,191506.0,2022-01-14,12965.0,66.0,64.0,2.0
울산광역시,114093.0,2022-01-14,7369.0,40.0,34.0,6.0
세종특별자치시,68169.5,2022-01-14,2323.0,8.0,8.0,0.0
경기도,1414357.0,2022-01-14,204618.0,1856.0,1784.0,72.0
강원도,343091.0,2022-01-14,13512.0,144.0,139.0,5.0
충청북도,233229.5,2022-01-14,12333.0,71.0,67.0,4.0
충청남도,327162.5,2022-01-14,19659.0,106.0,99.0,7.0
전라북도,202762.0,2022-01-14,10724.0,102.0,99.0,3.0
전라남도,259756.0,2022-01-14,7307.0,133.0,132.0,1.0
경상북도,365519.0,2022-01-14,16526.0,93.0,88.0,5.0
경상남도,343091.0,2022-01-14,22278.0,126.0,117.0,9.0
제주특별자치도,206923.5,2022-01-14,4864.0,6.0,3.0,3.0
서울특별시,1660543.5,2022-01-15,240862.0,912.0,823.0,89.0
부산광역시,430622.5,2022-01-15,27726.0,143.0,135.0,8.0
대구광역시,308819.0,2022-01-15,24651.0,126.0,118.0,8.0
인천광역시,467799.5,2022-01-15,39970.0,248.0,221.0,27.0
광주광역시,186630.5,2022-01-15,9866.0,207.0,205.0,2.0
대전광역시,250470.5,2022-01-15,13018.0,53.0,49.0,4.0
울산광역시,141001.0,2022-01-15,7386.0,17.0,14.0,3.0
세종특별자치시,86670.5,2022-01-15,2338.0,15.0,15.0,0.0
경기도,1821148.0,2022-01-15,206441.0,1823.0,1761.0,62.0
강원도,520002.0,2022-01-15,13591.0,79.0,75.0,4.0
충청북도,303684.5,2022-01-15,12416.0,83.0,77.0,6.0
충청남도,465482.5,2022-01-15,19779.0,121.0,110.0,11.0
전라북도,286986.0,2022-01-15,10847.0,123.0,120.0,3.0
전라남도,346584.0,2022-01-15,7462.0,155.0,151.0,4.0
경상북도,514153.5,2022-01-15,16621.0,95.0,85.0,10.0
경상남도,453890.5,2022-01-15,22394.0,116.0,108.0,8.0
제주특별자치도,208712.0,2022-01-15,4877.0,13.0,10.0,3.0
서울특별시,1384855.5,2022-01-16,241784.0,925.0,826.0,99.0
부산광역시,395216.5,2022-01-16,27871.0,145.0,137.0,8.0
대구광역시,272097.0,2022-01-16,24808.0,157.0,147.0,10.0
인천광역시,414676.5,2022-01-16,40230.0,260.0,235.0,25.0
광주광역시,159582.5,2022-01-16,10049.0,183.0,173.0,10.0
대전광역시,213643.5,2022-01-16,13072.0,54.0,47.0,7.0
울산광역시,133952.0,2022-01-16,7405.0,19.0,15.0,4.0
세종특별자치시,75082.0,2022-01-16,2359.0,21.0,20.0,1.0
경기도,1669444.0,2022-01-16,208027.0,1586.0,1511.0,75.0
강원도,482317.5,2022-01-16,13665.0,74.0,69.0,5.0
충청북도,273994.0,2022-01-16,12455.0,39.0,37.0,2.0
