areaNm,baseYmd,festival_no,festival_yes,holiday_no,holiday_yes,PM10_no,PM10_yes,PM25_no,PM25_yes,dayRf_no,dayRf_yes,touNum,avgTemp,AccumulateCovid19,increase
울산광역시,2022-01-14,1,0,1,0,1,0,1,0,1,0,114093.0,-2.1,7369.0,40.0
세종특별자치시,2022-01-14,1,0,1,0,1,0,1,0,1,0,68169.5,-4.5,2323.0,8.0
경기도,2022-01-14,1,0,1,0,1,0,1,0,1,0,1414357.0,-5.7,204618.0,1856.0
강원도,2022-01-14,0,1,1,0,1,0,1,0,1,0,343091.0,-8.3,13512.0,144.0
충청북도,2022-01-14,0,1,1,0,1,0,1,0,1,0,233229.5,-9.4,12333.0,71.0
충청남도,2022-01-14,1,0,1,0,1,0,1,0,1,0,327162.5,-4.9,19659.0,106.0
전라북도,2022-01-14,1,0,1,0,1,0,1,0,1,0,202762.0,-2.7,10724.0,102.0
전라남도,2022-01-14,1,0,1,0,1,0,1,0,1,0,259756.0,-0.2,7307.0,133.0
경상북도,2022-01-14,1,0,1,0,1,0,1,0,1,0,365519.0,-5.9,16526.0,93.0
경상남도,2022-01-14,1,0,1,0,1,0,1,0,1,0,343091.0,-1.9,22278.0,126.0
제주특별자치도,2022-01-14,1,0,1,0,1,0,1,0,1,0,206923.5,4.3,4864.0,6.0
서울특별시,2022-01-15,1,0,0,1,1,0,1,0,1,0,1660543.5,-1.0,240862.0,912.0
부산광역시,2022-01-15,1,0,0,1,1,0,1,0,1,0,430622.5,4.8,27726.0,143.0
대구광역시,2022-01-15,1,0,0,1,1,0,1,0,1,0,308819.0,1.0,24651.0,126.0
인천광역시,2022-01-15,1,0,0,1,1,0,1,0,1,0,467799.5,-0.1,39970.0,248.0
광주광역시,2022-01-15,1,0,0,1,1,0,1,0,1,0,186630.5,2.2,9866.0,207.0
대전광역시,2022-01-15,1,0,0,1,1,0,1,0,1,0,250470.5,0.6,13018.0,53.0
울산광역시,2022-01-15,1,0,0,1,1,0,1,0,1,0,141001.0,2.8,7386.0,17.0
세종특별자치시,2022-01-15,1,0,0,1,1,0,1,0,1,0,86670.5,-0.1,2338.0,15.0
경기도,2022-01-15,1,0,0,1,1,0,1,0,1,0,1821148.0,-2.6,206441.0,1823.0
강원도,2022-01-15,0,1,0,1,1,0,1,0,1,0,520002.0,-4.5,13591.0,79.0
충청북도,2022-01-15,0,1,0,1,1,0,1,0,1,0,303684.5,-3.4,12416.0,83.0
충청남도,2022-01-15,1,0,0,1,1,0,1,0,0,1,465482.5,-0.4,19779.0,121.0
전라북도,2022-01-15,1,0,0,1,1,0,1,0,1,0,286986.0,2.1,10847.0,123.0
전라남도,2022-01-15,1,0,0,1,1,0,1,0,1,0,346584.0,2.4,7462.0,155.0
경상북도,2022-01-15,1,0,0,1,1,0,1,0,1,0,514153.5,-1.6,16621.0,95.0
경상남도,2022-01-15,1,0,0,1,1,0,1,0,1,0,453890.5,0.2,22394.0,116.0
제주특별자치도,2022-01-15,1,0,0,1,1,0,1,0,1,0,208712.0,7.4,4877.0,13.0
서울특별시,2022-01-16,1,0,0,1,1,0,1,0,1,0,1384855.5,-2.0,241784.0,925.0
부산광역시,2022-01-16,1,0,0,1,1,0,1,0,1,0,395216.5,4.8,27871.0,145.0
대구광역시,2022-01-16,1,0,0,1,1,0,1,0,1,0,272097.0,1.9,24808.0,157.0
인천광역시,2022-01-16,1,0,0,1,1,0,1,0,1,0,414676.5,-2.7,40230.0,260.0
광주광역시,2022-01-16,1,0,0,1,1,0,1,0,1,0,159582.5,1.9,10049.0,183.0
대전광역시,2022-01-16,1,0,0,1,1,0,1,0,1,0,213643.5,0.7,13072.0,54.0
울산광역시,2022-01-16,1,0,0,1,1,0,1,0,1,0,133952.0,3.0,7405.0,19.0
세종특별자치시,2022-01-16,1,0,0,1,1,0,1,0,0,1,75082.0,-0.3,2359.0,21.0
